station;long;lat;date;weekday;time;visibility;relative_humidity;precipitation;wind_speed;air_temp
83967;-51.17472221;-30.05361111;23/02/2017;3;12:00;1.0;0.77;0.0;2.3;24.8
83967;-51.17472221;-30.05361111;23/02/2017;3;18:00;1.0;0.5;0.0;2.1;31.4
83967;-51.17472221;-30.05361111;24/02/2017;4;00:00;1.0;0.74;0.0;1.1;27.2
83967;-51.17472221;-30.05361111;24/02/2017;4;12:00;1.0;0.85;0.0;1.3;26.6
83967;-51.17472221;-30.05361111;24/02/2017;4;18:00;1.0;0.66;0.0;3.0;30.8
83967;-51.17472221;-30.05361111;25/02/2017;5;00:00;1.0;0.81;0.0;1.0;25.9
83967;-51.17472221;-30.05361111;25/02/2017;5;12:00;1.0;0.78;0.0;1.5;27.8
83967;-51.17472221;-30.05361111;25/02/2017;5;18:00;1.0;0.64;0.0;1.5;30.6
83967;-51.17472221;-30.05361111;26/02/2017;6;00:00;1.0;0.82;0.0;2.1;26.0
83967;-51.17472221;-30.05361111;26/02/2017;6;12:00;1.0;0.76;0.0;2.1;28.0
83967;-51.17472221;-30.05361111;26/02/2017;6;18:00;1.0;0.54;0.0;2.5;31.8
83967;-51.17472221;-30.05361111;27/02/2017;0;00:00;1.0;0.79;0.0;2.1;25.4
83967;-51.17472221;-30.05361111;27/02/2017;0;12:00;1.0;0.72;0.0;1.8;26.8
83967;-51.17472221;-30.05361111;27/02/2017;0;18:00;1.0;0.54;0.0;2.8;32.5
83967;-51.17472221;-30.05361111;28/02/2017;1;00:00;1.0;0.82;0.0;3.0;25.2
83967;-51.17472221;-30.05361111;28/02/2017;1;12:00;1.0;0.72;0.0;2.3;26.6
83967;-51.17472221;-30.05361111;28/02/2017;1;18:00;1.0;0.51;0.0;2.3;33.2
83967;-51.17472221;-30.05361111;01/03/2017;2;00:00;1.0;0.8;0.0;1.8;27.6
83967;-51.17472221;-30.05361111;01/03/2017;2;12:00;1.0;0.82;0.1;2.0;25.6
83967;-51.17472221;-30.05361111;01/03/2017;2;18:00;1.0;0.59;0.0;2.8;30.7
83967;-51.17472221;-30.05361111;02/03/2017;3;00:00;1.0;0.75;0.0;0.7;27.6
83967;-51.17472221;-30.05361111;02/03/2017;3;12:00;1.0;0.68;0.0;2.5;28.0
83967;-51.17472221;-30.05361111;02/03/2017;3;18:00;1.0;0.49;0.0;2.6;35.4
83967;-51.17472221;-30.05361111;03/03/2017;4;00:00;1.0;0.79;0.0;2.8;27.6
83967;-51.17472221;-30.05361111;03/03/2017;4;12:00;1.0;0.66;0.0;1.8;29.8
83967;-51.17472221;-30.05361111;03/03/2017;4;18:00;1.0;0.52;0.0;1.4;36.0
83967;-51.17472221;-30.05361111;04/03/2017;5;00:00;1.0;0.94;4.2;1.0;25.0
83967;-51.17472221;-30.05361111;04/03/2017;5;12:00;1.0;0.85;0.0;1.3;26.2
83967;-51.17472221;-30.05361111;04/03/2017;5;18:00;1.0;0.78;0.0;2.5;27.6
83967;-51.17472221;-30.05361111;05/03/2017;6;00:00;1.0;0.93;3.8;2.0;23.6
83967;-51.17472221;-30.05361111;05/03/2017;6;12:00;0.3333333333333333;0.9;8.4;3.1;25.2
83967;-51.17472221;-30.05361111;05/03/2017;6;18:00;1.0;0.82;9.1;2.4;26.0
83967;-51.17472221;-30.05361111;06/03/2017;0;00:00;1.0;0.83;0.1;1.6;23.7
83967;-51.17472221;-30.05361111;06/03/2017;0;12:00;1.0;0.88;0.0;0.3;24.2
